Words,Vocabs
1064,201
485,119
380,83
363,104
370,93
368,71
119,33
431,107
561,117
189,49
723,160
641,149
342,87
220,58
252,61
289,60
191,57
44,12
429,106
525,122
40,10
312,83
28,10
368,105
196,56
202,63
105,33
234,71
300,81
241,70
66,23
591,150
325,99
884,167
51,25
13,5
411,111
548,112
383,105
491,120
215,61
162,47
288,105
333,87
131,41
20,11
310,76
393,108
237,68
166,50
659,134
262,65
228,59
445,102
18,6
256,62
510,132
115,44
237,71
345,92
419,107
165,45
443,117
297,91
28,12
158,40
787,152
1,0
414,117
80,33
447,133
214,59
196,61
390,106
369,95
137,39
91,36
343,84
337,72
327,82
536,128
225,57
87,31
141,49
239,75
625,121
917,194
425,118
298,78
386,96
85,30
482,119
406,100
85,22
244,62
676,144
466,102
333,85
253,56
443,115
878,183
1067,190
452,100
417,88
15,5
235,55
310,95
196,51
240,63
1,0
291,90
1116,195
768,142
311,76
250,58
381,97
224,68
837,161
158,57
213,63
304,94
91,26
105,32
296,82
98,42
259,64
296,67
572,135
110,33
366,97
514,126
10,3
293,76
773,157
1111,219
348,99
202,67
1005,204
331,94
204,59
439,109
93,36
248,71
268,84
610,129
291,79
200,49
589,151
499,116
23,8
131,41
167,54
244,63
263,81
123,33
364,91
64,15
289,75
1,0
283,76
150,46
972,190
120,42
350,66
632,133
229,69
357,79
116,34
474,118
432,97
124,26
82,30
340,84
214,63
490,129
164,43
323,80
372,82
183,56
263,73
405,106
1,0
297,77
175,51
277,77
269,69
202,61
348,89
391,85
810,155
136,51
299,82
417,110
423,123
151,41
226,70
430,85
443,112
440,116
279,93
317,61
240,63
117,39
250,69
280,87
406,111
1002,199
26,10
482,126
60,26
51,11
352,81
275,83
525,108
301,65
475,113
79,24
185,52
289,83
252,66
228,63
285,82
215,64
237,72
424,97
64,22
259,72
160,44
423,108
380,70
369,96
455,94
272,61
261,66
530,113
414,88
300,91
291,81
219,52
382,113
335,86
236,77
418,96
713,176
279,84
214,71
11,3
375,102
182,54
191,47
209,55
241,49
187,50
394,94
286,77
632,132
119,37
334,95
264,69
421,101
236,74
729,165
306,89
280,72
229,66
736,165
260,65
105,22
105,38
177,54
493,119
90,35
508,110
697,145
103,37
263,52
594,152
643,147
353,92
271,71
509,112
584,120
44,16
350,87
457,117
490,132
276,89
332,86
149,51
154,46
83,21
387,94
446,94
201,53
283,78
230,43
320,91
527,120
497,94
340,94
196,75
186,55
246,63
389,89
763,192
192,51
361,82
29,9
271,56
1,0
33,14
486,106
297,92
601,145
267,77
350,90
730,125
445,122
442,124
338,97
254,57
424,118
358,78
291,100
1,0
236,49
451,117
138,39
318,101
279,86
310,98
334,99
5,1
454,101
363,94
220,65
73,32
195,60
479,133
231,49
403,94
131,38
132,38
289,82
264,72
931,171
466,102
74,28
288,100
140,49
391,101
87,22
592,163
187,54
446,108
215,49
376,81
188,54
374,109
265,81
377,103
638,127
383,91
119,38
775,177
283,97
171,45
262,76
77,21
81,22
152,49
599,130
537,119
207,59
285,75
238,55
336,90
915,172
272,91
363,103
174,53
276,69
378,102
183,54
264,63
103,35
371,95
223,56
552,128
641,151
167,47
323,81
261,66
334,78
325,81
205,56
279,78
317,72
263,82
159,53
228,64
175,56
433,106
279,87
624,157
307,78
256,77
303,70
513,109
373,97
174,51
7,1
391,101
173,51
88,28
940,156
241,73
286,53
137,45
313,84
158,39
459,99
255,53
210,57
90,30
359,93
354,89
10,4
380,103
454,126
156,45
531,81
504,90
538,131
499,126
940,198
65,20
264,75
446,131
215,65
380,76
153,54
256,62
294,71
258,58
650,132
166,49
297,73
123,36
324,81
155,54
201,69
303,68
110,31
353,107
44,15
127,39
206,60
348,99
457,102
260,74
332,99
755,142
373,91
437,110
221,57
161,51
565,114
383,95
49,17
319,75
103,35
397,94
67,25
314,88
251,70
42,18
346,87
440,114
274,70
194,45
227,66
1,0
248,61
463,101
332,82
137,46
98,32
387,94
330,95
305,83
257,57
306,93
367,95
40,13
220,47
237,46
674,155
279,77
353,96
